INFO -- 2010-10-06 02:27:27,258 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
INFO -- 2010-10-06 02:27:47,412 --En mainwindow funcion:on_btnApertura_clicked linea:176 -- El usuario root ha continuado una sesión de caja
INFO -- 2010-10-06 02:28:24,039 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
INFO -- 2010-10-06 02:28:26,371 --En mainwindow funcion:on_btnApertura_clicked linea:176 -- El usuario root ha continuado una sesión de caja
INFO -- 2010-10-06 02:28:54,995 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
INFO -- 2010-10-06 02:28:57,005 --En mainwindow funcion:on_btnApertura_clicked linea:176 -- El usuario root ha continuado una sesión de caja
INFO -- 2010-10-06 02:29:35,874 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:29:51,770 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:29:52,964 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:29:53,474 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:29:53,475 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:30:04,220 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:30:05,059 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:30:05,789 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:30:05,791 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
INFO -- 2010-10-06 02:31:51,248 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
